listing,vendor,original_category,type of product,drug detail,escrow,vendor rating,vendor membership,origin,destination,price_in_usd,quantity,description

FLAVOR

Many of you have told us you prefer the natural taste of pot so we havenêt added any flavors but feel free to add your own. Adding flavor masks that give away smell of pot and allows you to vape undetected in public. Now thatês a bonus!

INFUSED NOT EXTRACTED

Blazing Vapor is infused with a 67% VG to 33% PG ratio. No butane or propane (lighter fuel), ethanol (alcohol) or isopropyl (rubbing alcohol) has been used in the cannabis extraction process.

CONCENTRATE

When used undiluted it can clog your vaporizerês coil faster than a nicotine infusion. While both PG and VG will work to extend the life of your coil, PG is thinner and will keep your coil unclogged the longest.

For those unfamiliar with VG and PG, these two products are found in just about all eliquids and in the case of Blazing Vapor work to suspend cannabis trichomes until heat is applied which converts THC to its psychedelic form which is what gets you high. VG produces the billowing clouds of vapor often associated with vaping and has a sweeter taste, while PG produced much less smoke and has a throat hit that is often preferred by smokers. Many users prefer to dilute with a combination of both PG and VG.

VAPORIZER SETTINGS

We recommend you set your vaporizer to around 50W for the optimal vaping experience. If youêre not feeling an effect experiment with different temperature settings.

BOTTLING

This listing is for 30ml Blazing Vapor which will be shipped in a 30ml vial. If you would prefer to receive your order as separate 10ml vials then include a message when supplying a shipping address.

STEALTH

We use various methods to avoid detection and your Blazing Vapor will be unlabeled. The images are for illustrative purpose.

ORDERING ESCROW

Kindly finalize your order to release the funds when they are held in escrow.
"

e-liquide au THC avec nicotine go_t fraise ou cola - 12ml,MadeInFrance,weed,eliquid,cannabis,ESCROW,1, 2019-04-25,france,worldwide,61.42,unit,"Bienvenue sur ma boutique en ligne

                 ***Made In France***

      ??? English translation at the end ???

                ****e-liquide au THC**** 

Produit très discret car pas de go_t ni d'odeur de cannabis (go_t et odeur cola ou fraise au choix) Composition : pg 70 gv 30, nicotine 2 mg/ml, THC 10 %, ar»mes cola/fraise. Fabriqu_s en France avec des ingr_dients tous fabriqu_s en France.

Avant de cr_er ce liquide j'ai go_t_ ceux que l'on trouvait sur dream market et j'ai _t_ très d_çu, des flacon de 10 ml _ 60— pour un liquide qui ne d_fonce pas, qui _ un go_t horrible et qui bousille les r_sistances très viteÄ Mes liquides sont un peu moins cher, ils d_foncent bien, les go_ts sont bons et ils n'abîment pas les r_sistances.

Exp_dition

J'exp_die ce produit depuis la France, sous 24 heures maximum après la commande.

France : 1 _ 2 jours Europe : 3 _ 9 jours

Pr_cisez si vous voulez le go_t fraise ou le go_t cola en même temps que vous donnez votre adresse. Si mes liquides vous plaisent j'ajouterai d'autres saveurs quand j'en referais.

Conseils d'utilisation

R_servez un atomiseur uniquement pour ce liquide, un kanger t2/t3 suffit. je vape mon liquide THC avec kanger t2, kanger t3, kanger genitank et eleaf gs air. Pour votre 1ère fois ne prenez que 10 puff et attendez 5/10 min de ressentir les effets, ajustez ensuite votre consommation par rapport _ l'effet ressenti. Vous pouvez couper ce e-liquide avec un autre du même go_t si vous le trouvez trop fort. Hydratez-vous r_gulièrement quand vous vapez (même sans THC). Vaper ce liquide donne faim, pr_voyez de quoi grignotter (^_^)

Commentaires

N'oubliez pas de me laisser une note, après avoir reçu et test_ votre produit, pour que je puisse continuer _ me d_velopper et _ vous servir. Merci et _ bient»t. Bonne vape !

                 ****Made In France****

              ??? English translation ???

                ****e-liquid with THC****  

Welcome to my online shop.

Very discret product because there is no taste or odor of cannabis, (it taste and smell cola or strawberry). Composition : pg 70 gv 30, nicotine 2mg (small), THC 10 %, aroma cola or strawberry. Made in France with ingredients all made in France.

Before creating this liquid i tested those sold on dream market and i was really disappointed, bottles of 10 ml at 60 — for a liquid that does not get stoned, which had a horrible taste and that screw up resistances very quicklyÄ My liquids are a little cheaper, they stone well, the tastes are good and they do not damage resistances.

Delivery

I send from France, within 24 hours from receipt of order.

France : 1 to 2 days Europe : 3 to 9 days

When you give your adresse choose the taste you prefer (cola or strawberry). If you like my liquids i will add more tastes.

Usage tips

Reserve an atomizer only for this liquid, a kanger t2/t3 is enough. I vape my THC liquid with kanger t2, kanger t3, kanger genitank and eleaf gs air. For your first time take only 10 puff and wait 5/10 min to feel the effects, then adjust your consomation in relation to the effect felt. you can cut this e-liquid with another of the same taste if you find it too strong. Drink regularly when you vape (even without THC). Vaping this liquid makes you hungry, plan something to eat (^_^)

Comments

Once you have tasted our products please do not forget to send me your comments in order that I can continue to develop my business. Thank you very much, and I hope to hear from you soon, enjoy !

                 ****Made In France****

Manifesto | FAQ | Direct Deposits Info | Multisig Info | Forums
1 BTC = 8293.93 EUR = 9263.54 USD = 7161.27 GBP = 152.17990099 XMR = 13399.43 AUD = 12174.33 CAD
"

"5 x ** BRAND NEW** 1g Moonrock Clear Cartridge, Lynwood Lemonade",THETHCDOCTOR,concentrate,cartridge,cannabis,ESCROW,1, 2019-06-16,UK,worldwide,246.13,5g,"OUR BEST SELLING MOONROCK CARTS

This SPECIAL OFFER is for 5, 1g Moonrock Original Vape Tanks. Lynwood Lemonade flavour.

Dr. Zodiakês Moonrock Clear OG is a high end THC distillate that tests approximately 92%. The 1 gram cartridge is manufactured with a multi-step method of cannabis purification, infused with all natural terpenes. Strong and Tangy Lemon Flavour

We also have Moonrock Carts available in a variety of flavours, Moonrock Clear Cartridge, Bobby Blue Moonrock Clear Cartridge, Lynwood Lemonade Moonrock Clear Cartridge, Razzle Dazzle Moonrock Clear Cartridge, Silverback Clear Moonrock Clear Cartridge, Original

If you wish to change any flavours in the order of 5 Carts, that is not a problem, please just let us know which flavours you require in the order notes, we are happy to swap and mix flavours should you wish to?

**Please check out our other listings for individual carts and also for larger BULK BUY options on Moonrock Carts and many other products.
"

7g Cannabis | Sour Diesel - UK & Europe Vendor,boudicca,weed,other,cannabis,ESCROW,1, 2019-08-02,UK,selected,55,7g,"PLEASE REMEMBER TO CHECK OUT OUR OTHER STRAINS AND OFFERS

OVERVIEW

Strain: Sour Diesel

Type: 100% Sativa

Effects: Creative, Energizing, Euphoria, Happy, Uplifting

Rating: AA+

THC: High

Buds: Dense, small and compact

Photos: hxxps://imgur.com/a/j3Q93pm

DESCRIPTION

Boudicca proudly presents Sour Diesel, the invigorating 100% sativa strain named after its pungent, diesel-like aroma. Sour Diesel offers a fast acting head high, that leaves its users feeling happy, uplifted and energetic. It is a longstanding strain, thought to be developed from Chemdog 91 and Super Skunk in the early 1990s. Sour Diesel has become much-loved among recreational smokers, but also offers medical effects, including alleviating stress, pain and depression. For more information hereês a Youtube video from Leafly:

hxxps://youtu.be/jIce_xDGXTk

MEDICINAL PROPERTIES

Its very high levels of THC and 100% sativa genetics means that Sour Diesel a good strain for treating anxiety, bipolar, chronic pain, depression and fatigue. The healthiest way to smoke cannabis is pure; through a vape, pipe or bong. Alternatively consider tobacco replacement products such as GreenGo.

DELIVERY

Boudicca is a UK vendor that dispatches Monday to Saturday to UK and Europe. All orders before 07:00 GMT will definitely be posted that morning, often with a second dispatch at 16:00 GMT on weekdays and midday on Saturdays. Product is sealed within moisture barrier bags and delivered within a plain envelope with printed address label. It is marked on the outside of the moisture barrier bags for identification. All single orders are dispatched Royal Mail First Class Unsigned. Multiple item orders that are above $100 in total value will require a signature. Ensure you provide a name that you can use to collect any missed deliveries from the Post Office.

CONTACT

If you have any questions about the strain or your order, feel free to contact us. We respond to all messages on Cryptonia, weêre also on Empire and can be reached through Wickr: iboudicca
"

"10,000mg/25ml LEMONADE eLiquid - THC Vape Cart Refill",teamextract,concentrate,cartridge,cannabis,ESCROW BULK DISCOUNTS,1, 2019-04-27,europe,selected,524.94,25ml,"1 Piece = 10,000mg / 25ml Liquid Volume [Extra Strong Mixture]

A++ Indoor buds harvested recently. Extracted using the highest grade butane.

? Beautiful Yellow Ambar Color

? Lemon Gasoline Smell

? Lemony Citrus Flavors

? Strong Hypnotic Effect

? Glassy Shatter Consistency Resin

? Cali imported strain.

-> Which Strength Should I Get?

??? EXTRA STRONG: 1,000mg/3ml - Recommended for experienced smokers|vapers with a high tolerance and a good vapor device

?? REGULAR: 1,000mg/5ml - Regular strength for a •normalê effect, like when smoking a spliff

? LIGHT: 1,000mg/10ml - For those looking to be able to vape when at work, studying, being more productive & creative

NOTE: Delivered in our secure refill bottles to guarantee no leaks! Add to your eCig Chamber or Liquid Cartridge directly. We do not ship pre-filled carts due to the possibility of leakage during in transit.

===ãã INFORMATION ãã===

Blended with our own proprietary PEG (PEG is used widely in the food & drug industry) for a Cool, Smooth Vapor Experience where you taste the extract not the liquid (unless you fry it!) Vaping is all about low temperture.

Our packaging and eLiquid products are Super Stealth.

You can safely vape infront of the your local enforcement in most cases, if you really wish! This is what we take with us to the city when shopping.

? Want to add your own flavors? Add your favorite eJuice blends to your taste. * Our •E-liquid Xê will only mix with PEG400 Based liquids due to the concentration.

Suitable for almost all Vape Juice units with a Ceramic Coil. Cotton Coils work for a short time but clog up the cotton fast and waste your liquid. A Cotton-wick cartridge is another good option.

Best consumed using a unit with low power, or with a regular device with good digital temperature control. Our liquids only require a little heat to create thick vapor. If you do it wrong youêll learn quickly.

Message us with questions :)
"

?Smart Cart? FULL GRAM VAPE CART,DigitalDispensary  ,concentrate,cartridge,cannabis,ESCROW BULK DISCOUNTS,0.988, 2019-04-26,US,US,25.95,g,"Welcome and thank you for choosing DIGITAL DISPENSARY!

These are 100% authentic distillate cartridges from Smart Cart. The oil in these cartridges are pure and uncut (no PG, VG, PEG or other additives)

Please check out our store and our other products. We will be adding more products soon!! We have the fastest ship time and the best stealth on the Dark Net!! Look at our reviews they are all 5 star!!!

*Strains will be given randomly at vendors discretion, though we do our best to give you a balanced variety of what we have in stock.

Please also send us your public PGP and email address for contact incase of market crash, exit scam, LE takeover or deal alerts.

« Please confirm the package –Delivered” as soon as it arrives. If you are happy with our products and service please leave us a 5 star rating. Do contact us FIRST to resolve any issues before leaving a review. Customer satisfaction is very important to us.

Thank You!
"

StawberryStickyGum-thc VapeJuice (AAA* THC) 1ML,VapeShopMan,concentrate,eliquid,cannabis,ESCROW,0.968, 2019-04-28,UK,UK,38.21,ml,"This full-bodied indica is a delightful crossbreed of Mendocino Pups, Skunk and Original Afghani, making it a pretty exciting bud to indulge in. Despite its fruity nature, you can expect a high as delicious as the taste, featuring both mind and body effects YOU WILL RECEIVE 1ML OF OIL AND ONE CART"

THC Boujee Vape Juice (100ml),lalilulelokiller,concentrate,eliquid,cannabis,ESCROW,0.983, 2019-04-21,UK,worldwide,388.62,100ml,"High quality branded vape juice by •Boujee Juiceê expertly infused with pure THC-A Crystalline (99.99%).

100ml Bottle. Will come with original branded packaging.

    70PG/30VG
    Super High Stealth!

Flavours available:

    Raspberry Donuts

    Strawberry Dessert

    Strawberry Millions

    Lemon Sherbert

    Bubblegum Candy

    Cookies & Cream

    Sour Apple Gum

    Heisenberg

If you have purchased from us before you will be familiar with the quality and demand of our expert THC infusion.
"

1g THC -CANNABIS OIL 98% *SUPER STRONG* SYRINGE,KannaMedsUk,concentrate,eliquid,cannabis,ESCROW,0.993, 2019-06-01,UK,selected,55.69,unit,"1 x 1g 98% SUPER STRONG! THC-OIL syringe - Variety of Strains/Flavors available

**SUPER STRONG - MADE FROM 98% THC CONCENTRATE - POTENT *

Premium THC Concentrate

Purest, Cleanest & Strongest THC Oil on The Market! 1ml of Premium oil. Organic & Natural THC Higher THC level Smoother Experience No paranoia No alcohol, No solvents, No butane, No preservatives, No Nicotine, No synthetics No waxes - Extra refined Oil == No more Blocked Coil!!===

Best vaped with our batteries. please see our starter set in listings. optimal results at 5-20watts

   FREE FAST FIRST CLASS POSTAGE
       ON ALL ORDERS TO UK.

WE SHIP TO UK, EUROPE & AUSTRALIA WITH 100% SUCCESS!

====== SUPER SAFE MYLAR PACKAGING=======
    === Discreet & Confidential ====

PLEASE NOTE: For security purposes this item will be labeled CBD in shipping package. However, you will receive the product as described in the listing and full spectrum THC cannabis oil. note inside sealed mylar bag. no details on outside of packaging. very discreet

Orders Shipped MON-FRI (12.30pm Cut-Off same day post)

Messaged responded within 24hrs Mon-Fri

As you can see from the images the oil is a wonderful light golden color.

====FLAVORS==== Flavors help to mask the smell of cannabis when vaping. Enjoy cannabis more discreetly when required. The taste is rather subtle and compliments the natural taste to the product. Flavors and original/ no flavor are the same strength. No difference in potency.

====FLAVORS AVAILABLE===== Strawberry (Strongest Flavor/Best Mask of Smell) Ice mint Grape Banana PINEAPPLE BLUEBERRY Original Unflavored (Natural Taste/No masking)

=========STRAINS========PLEASE CHOOSE===== Bruce Banner #3 Gorilla Glue #4 Cheese Amnesia Haze

PLEASE SPECIFY FLAVOR & STRAIN YOU WANT WHEN YOU SEND ADDRESS DETAILS. IF WE RECEIVE NO FLAVOR REQUEST WE WILL SEND YOU ORIGINAL AND RANDOM STRAIN

WARNING: This is made for MAXIMUM STRENGTH! if you are not used to vaping or quality THC vape then please treat with respect and vape with caution until you find your tolerance

NO WASTE. NO LEAVES. WAXES OR IMPURITIES IN THIS THC CONCENTRATE!

Super Safe and Discreet sealed Mylar bag packaging. Sealed and smell proof. Standard plain bubble envelope which fits through standard size letter box. Highly confidential and Discreet. No Sign required.
"

**100 CARTS** BRASS KNUCKLES FULL GRAM THC VAPE CARTS *PROMO***,westcoastplug,concentrate,cartridge,cannabis,ESCROW,0.925, 2019-08-21,US,US,1025,100unit,"100 Units Authentic BRASS KNUCKLES Brand. Full Gram Variety of Flavors.

PREMIUM THC DISTILLATE NO ADDITIVES, NO HONEY CUT, NO PESTICIDES.

Brass Knuckles are an industry leader in super premium extracted cannabis oil products. Real purity, real integrity, no nonsense.
"

THC Killer Kustard Vape Juice (100ml),lalilulelokiller,concentrate,eliquid,cannabis,ESCROW,0.983, 2019-04-21,UK,worldwide,388.62,100ml,"High quality branded vape juice by •Vapetasiaê expertly infused with pure THC-A Crystalline (99.99%).

100ml Bottle. Will come with original branded packaging.

    Custard Flavour
    70VG/30PG
    Super High Stealth!

If you have purchased from us before you will be familiar with the quality and demand of our expert THC infusion.
"

100 King pens available,cordova ,weed,vape pen,cannabis,ESCROW,0.733, 2019-07-22,US,worldwide,1200,100 unit,"WickrÄÄ. cordova56

Top quality carts available. High quality oil ! Exotics, Mario , Cereal , Supreme , dank vapes , and king pens Contact me below if u need some carts

WickrÄÄ. cordova56
"

75% THC | AGENT ORANGE Cannabis Vape Oil | 50ml,aKINDercare,concentrate,eliquid,cannabis,ESCROW,1, 2019-04-28,US,US,475,50ml,"STRAIN: AGENT ORANGE | [Hybrid] | [70% Sativa / 30% Indica]

ATTRIBUTES: happy, uplifted, energetic, creative, relaxed

MEDICAL BENEFITS: depression, stress, pain, headaches, fatigue

Slow brewed. Our products are prepared in small batches with great love and care using A grade, high-quality Cannabis concentrate (shatter/wax) and our own custom blend of e-liquid.

Brewed on extremely low heat over the course of days and filtered over and over and over again, we challenge you to find a cleaner more effective cannabis cloud on the market as affordable as ours.

We go to great lengths to ensure the plants original terpene profiles are preserved during the brew process.

Item is heat activated having been thoroughly decarboxylated (twice)

DISCLAIMER: No Vitamin E Oil (acetate) or similarly oil thickners are used in the production of our cannabis vaporizer juice.

Our cannabis vaporizer oils are intended for use with standard e-liquid vaporizer pens, tanks and devices.

For an optimum experience and flavor, oil is best heated using 4.2 volt(s) battery or device.

Package includes dropper top for easy transfer and refills of your 510 thread cartridges, tanks and pens.

AGENT ORANGE:

A well-balanced hybrid that combines the smooth Orange Velvet with the bold Jack the Ripper, Agent Orange will capture your senses. Wonderful smells of oranges and fresh-cut citrus fruit will entice you immediately, while the pigments of deep maroon and purple will make this bud stand out in a sea of green. The effects are uplifting and motivating, serving as a great mood enhancer if you are feeling lethargic or depressed.

Thanks for looking, contact us with any questions.

Take care of each other,

KINDercare
"

1ml 85% THC AMNESIA HAZE-SATIVA TANK/CART - CANNABIS OIL,KannaMedsUk,concentrate,eliquid,synthetic cannabinoids,ESCROW,0.993, 2019-06-01,UK,selected,63.46,unit,"1 x 1ml 85 % THC-CART/TANK - AMNESIA HAZE - CANNABIS OIL FREE POST

Premium THC Concentrate Vape Cart dab effect product. USA MEDICAL DISPENSARY GRADE THC

Purest, Cleanest & Strongest THC Oil on The Market!

Pre filled Cart (better vaping experience) 1ml of Premium oil. Organic & Natural THC Higher THC level Smoother Experience No paranoia De-waxed & Winterized No alcohol, No solvents, No butane, No preservatives, No Nicotine, No synthetics No waxes - Extra refined Oil == No more Blocked Coil!!===

Specially designed for vaping Thick THC oil Universal 510 Thread

LISTING IS FOR 1 X Ready to Vape CART

1 X Cartridge/ Atomizer 1 ml THC E-VAPE - Maximum strength

FREE FAST FIRST CLASS POSTAGE ON ALL ORDERS TO UK.

======= SUPER SAFE MYLAR PACKAGING======== === Discreet & Confidential ==== ==Easily fits through Letterbox== ===NO SIGN REQUIRED===

PLEASE NOTE: For security purposes this item will be labeled CBD in shipping package. However, you will receive the product as described in the listing and full spectrum THC cannabis oil.

Orders Shipped MON-FRI (1pm Cut-Off same day post)

Messaged responded within 24hrs Mon-Fri

As you can see from the images the oil is a wonderful light golden color.

====FLAVORS==== Flavors help to mask the smell of cannabis when vaping. Enjoy cannabis more discreetly when required. The taste is rather subtle and compliments the natural taste to the product. Flavors and original/ no flavor are the same strength. No difference on potency.

====FLAVORS AVAILABLE===== Strawberry (Strongest Flavor/Best Mask of Smell) / Grape / PINEAPPLE / BLUEBERRY / BANANA / ICE MINT / Original Unflavored (Natural Taste/No masking) /

PLEASE SPECIFY FLAVOR YOU WANT WHEN YOU SEND ADDRESS DETAILS. IF WE RECEIVE NO FLAVOR REQUEST WE WILL SEND YOU ORIGINAL.

WARNING: This is made for MAXIMUM STRENGTH! if you are not used to vaping or quality THC vape then please treat with respect and vape with caution until you find your tolerance

INSTRUCTIONS FOR USE: PLEASE READ BEFORE USE:

This THC CART is READY TO USE. DO NOT dilute with any other liquid, e liquid, flavoring ECT. Screw straight to vape battery (510 thread) best results with battery in range of 100-350mAh VAPE ON LOW WATTS USE LOW POWER vape battery or lower power option on your vape if variable. Too high power can damage the coil and destroy the THC! The cart is sold as disposable. No warranty is implied. It it designed to be disposed after the oil is finished. You can reuse but at your own risk. Cart is glass not plastic. Dual coil and designed especially for heavy/thick THC oil

NO WASTE. NO LEAVES. WAXES OR IMPURITIES IN THIS THC VAPE concentrate !
"

*NEW* WEST COAST CURE CUREPEN 1 GRAM THC VAPE CARTS,westcoastplug,concentrate,cartridge,cannabis,ESCROW BULK DISCOUNTS,0.925, 2019-08-21,US,US,34,cart,"HIGHEST QUALITY FULL GRAM FROM WEST COAST CURE. BEST CARTS ON THE WEST COAST!

NICE THICK FLUID SLOW BUBBLE!

PREMIUM THC DISTILLATE NO ADDITIVES, NO HONEY CUT, NO PESTICIDES.

Please Specify Indica, Sativa or Hybrid. (if nothing specified I will choose)
"

GrapeApe-thc VapeJuice (AAA* THC) 0.5ML *NO CART*,VapeShopMan,concentrate,eliquid,cannabis,ESCROW,0.968, 2019-04-28,UK,UK,19.43,ml,"This full-bodied indica is a delightful crossbreed of Mendocino Pups, Skunk and Original Afghani, making it a pretty exciting bud to indulge in. Despite its fruity nature, you can expect a high as delicious as the taste, featuring both mind and body effects YOU WILL RECEIVE 0.5ML OF OIL BUT NO CART"

Wookie #7 x Space Monkey (Gorilla Glue 4 x Wookie #15),UKCannaisseurs,weed,other,cannabis,ESCROW BULK DISCOUNTS,1, 2019-05-23,UK,selected,25.9,g,"As always:

Grown by me

Indoor with renewable energy. Indoor quality with an outdoor carbon foot print.

Organically grown in soil for extra terpene expression and quality.

Hand manicured while –wet” to keep as many crystals on the bud as possible.

Cured to perfection!

This should be priced like my tier 1, but Iêm going to list this as tier 2 which is 10% cheaper due to the LIGHTLY SEEDED status. Also having a 20% sale so please take advantage of it while it lasts!!

LIGHTLY SEEDED TLDR;(too long didnêt read): This new crop has some seeds unfortunately. Iêve removed the heavily seeded buds to be used for Live Rosin, and removed all the seeds that I saw when trimming, but there are still a small amount of seeds you may come across. This doesnêt matter much to vapers, but for you dirty smoking combusters out thereÄ Youêve been warned. They are easy enough to avoid in the grinder. This is still fantastic herb, but I have to be upfront and honest and warn you. Iêve sent out some samples to some of my regular customers and no one seemed to mind an occasional seed here or there.

You might even want to keep what you find incase you want to try and grow some in the future. Alternatively throw them into government gardens as a form of protest.

If you are still interested please read on.

PEDIGREE

Wookie #7 x Space Monkey (Gorilla Glue 4 x Wookie #15)

Orgasmatron and Wookie are known as Bodhiês best concentrate strains. They are smell and flavour sensations to say the least.

https://en.seedfinder.eu/strain-info/Wookie/Bodhi_Seeds/

This Wookie (Big Buddyês Lavender x Appalachia), a personal selection from Bodhi Seeds, has the most addictive aroma we have ever come across in the cannabis world. She smells like you just ripped your hand down a lavender vine and added a nose tingling sour note to it. The aroma is downright irresistible, the concentrate is potent as ever. Its something you would want your house, car, and office to smell like.

The stankiest beast in our garden, she is one sour flower, a nose burner to the highest level, and a true powerhouse.

https://en.seedfinder.eu/strain-info/Space_Monkey/Bodhi_Seeds/

Space Monkey is a cross between the Gorilla Glue 4 x Wookie 15 blasting it into the far reaches of marijuana possibilities. The Wookie genetics add more resin and space fuel together with lavender, grape and fuel notes to both scent and taste. The effect is well-balanced yet deeply powerful. Flowering takes a total of 9 weeks to harvest.

Due to this cross' extreme poly-hydrid nature, theres definitely some variation between the individuals. All are entrancingly terpy in the smell department and really nice buds. Cerebral, yet relaxing.

Feel free to tell me with your address if you would like a specific one, or if you ask nicely Iêll let you pick 2.

W2: Sour, spice, sweet, earthy, floral, Absinthe, with a hint of sexy dancing sweaty hippie girl.

W5: Large slightly spongy buds Smell: Sour, Fuel, Citrus zest, grape, strawberry, mint, floral. Taste: Just like it smells. Sunset Sherbet cocktail with a mint garnish.

W8: I mixed a lot of this into the Ground 0 mix, but its unique so I left some out. It reminds me of the strain Sherbet. Sweet, sour, orange, lime, cherry earth, mint.

W9: Sweet Sour lemon lime, fuel, earth, floral

Ground 0 mix (W3,4, some of 8) 10% extra free(remind me if you pick this please). Ground 0 and the 2 closest plants. Statistically they may have more seeds than the others, but all heavily seeded buds were used to make live rosin. Its quite magical fishing through a bag of this due to the variation of the different sisters.

Smells: sweet, watermelon, sour lemon-lime, fuel, mint, floral, earth.

Sorry it took me an extra 2 months to get these listed, but on the bright side the herb got an extra 2 month cure. Thats always a good thing :D

Reason for the delay is Iêve been crazy busy with my total grow room rehaul and upgrades. Iêve taken 2 giant leaps. 1 from HPS grow lights to cutting edge state of the art leds. Iêve also moved from bottled organics to notill organic living soil. I only use plain water now and organic dry amendments are added to the soil that even has worms living in it. The whole focus now is on the soil food web. Prepare for some extreme terpene expressions on my future crops.

If you like this, your going to love the Live Rosin Iêm making from this as well.

If you followed me on CGMC you probably saw me announce this exciting seed test that I just finished.

The seed test was for 2 currently unreleased crosses from Bodhi Seeds. Bodhi is one of the most sought after Breeders on the Planet. All while being family owned and operated. Bodhi himself, produces unique, high-quality cannabis crosses. Utilizing organic and sustainable practices, Bodhi creates some of the highest quality genetics and effective flowers available today. Hes done some podcasts, check him out if thats something you are into. I suggest the 2 parter on The POTCAST with Heavy Daze.

I have a big place in my heart for Bodhi. The work he does, him as a lovely person in general, and his attitude towards breeding checks all the boxes for me. As soon as I heard him say that he loves to help plants have sex, I knew I found some one that vibes with me. That and all of his practices jive with my own.

If youêve had the opportunity to try either Black Raspberry(currently sold out, OMG its so magic, and just so happens to be half Wookie) or Sunshine Daydream, youêll have a good idea on what some of his genetics can do.

I was lucky enough to use an old contact on the west coast to request an opportunity to seed test for the man himself. I was graciously received 1 pack each of:

Wookie 7(Black Raspberryês uncle) x Space Monkey (Gorilla Glue 4 x Wookie #15) https://en.seedfinder.eu/strain-info/Space_Monkey/Bodhi_Seeds/

Orgasmatron x •88G13HP https://en.seedfinder.eu/strain-info/Wookie_Orgasm/Bodhi_Seeds/

The cool thing about a seed test is that weêre both doing each other a favour. Iêm helping him test unreleased seeds to make sure there are no problems and give him a detailed report back, and I get free packs of unreleased seeds. Winner winner chicken dinner.

Dun Dun Dunnnnnnnnn!!!!

Everything was going so well until about week 4. I found about 5 fully open male flowers on Wx#4 on a way low down branch hidden away very well. I removed them immediately, sprayed everything down with water to kill any remaining pollen and searched all plants for any further male flowers and couldnêt find anything. I knew from the second I found them that there was going to be seeds in this crop. Its a real shame, but I was already half way into flowering so it didnêt make sense to start over. I figured Iêd have to ride it out and see what happens. Worse case scenario, the whole crop gets turned into Live Rosin.

I cant really fault the genetics themselves. Its possible that I had a light leak as this plant was closest to an external light source, but Iêve never had this issue before and never actually saw the light leak but its definitely possible that it was my fault in some way, and not the genetics.

Well here we are. I refer to Wx#4 as Ground 0 from here on out. It and the 2 adjacent plants had some heavily seeded buds at harvest. Those buds went straight into the freezer to be made into Live Rosin. Those plants were seeded the worse, but no plants escaped unscathed. Even the SSH x •88G13HP which was on the opposite side of the room has some seeds.

In case you didnêt know, seeds make no difference to vapers. Since they arenêt being combusted they donêt give off anything bad that we donêt want. If they make it into the pave it just takes up a little room in the pave but doesnêt influence the flavor or effect in anyway. Smokers on the other hand need to be more careful. Smoking seeds doesnêt taste very nice and is reported to possibly give headaches.

These seeds are very mature(large) and easy to see in the grinder, but it is possible to grind them up and make it a pain to pick out. Usually if you pick a bud apart well when putting it into the grinder you will see/feel the seeds and can remove them easily. They are easy to find if you know to look for the hard, extra swollen calyxes.

Now Iêve always said that I wish people wouldnêt smoke my weed. I put far too much time effort, energy, and soul, to just have it all go up in smoke. Not to mention that vaping is way more efficient, healthier and an overall completely better experience. I blow smokers mind with my Mighty all the time(I donêt think its just my weed anyways haha). Vaping is much more pleasurable experience. If you have the means to afford my weed you should have the means to afford a nice vape. I recommend anything from Stork and Bickel(German engineering at its finest for our needs). The vaping experience is next level and doesnêt compare. Evolve with us from the cavemen that we were, leave the fire behind, and embrace the technology of the 21st century to improve your life. Think of it as an investment in your health and financially as it WILL stretch your herb out and make it last longer.

Anyways, all I can say is this:

If you are going to buy/smoke weed from this crop expect it to have some seeds in it. All I can do is be completely honest, and discount it to make it worth your while. The flavour and effects of these plants are fully intact, and there is definitely some magic in there, no doubt about that. Vapers Rejoice.

-Canna"

STRAWBERRY COUGH Cannabis Vape Oil | 50% THC | 50ml,aKINDercare,concentrate,eliquid,synthetic cannabinoids,ESCROW,1, 2019-04-28,US,US,325,50ml,"STRAIN: STRAWBERRY COUGH | [80% Sativa / 20% Indica ] | [sativa]

ATTRIBUTES: relaxed, euphoric, happy, uplifted, energetic

MEDICAL BENEFITS: pain, depression, stress, headaches, fatigue

Slow brewed. Our products are prepared in small batches with great love and care using A grade, high-quality Cannabis concentrate (shatter/wax) and our own custom blend of e-liquid.

Brewed on extremely low heat over the course of days and filtered over and over and over again, we challenge you to find a cleaner more effective cannabis cloud on the market as affordable as ours.

We go to great lengths to ensure the plants original terpene profiles are preserved during the brew process.

Item is heat activated having been thoroughly decarboxylated (twice)

DISCLAIMER: No Vitamin E Oil (acetate) or similarly oil thickners are used in the production of our cannabis vaporizer juice.

Our cannabis vaporizer oils are intended for use with standard e-liquid vaporizer pens, tanks and devices.

For an optimum experience and flavor, oil is best heated using 4.2 volt(s) battery or device.

Package includes dropper top for easy transfer and refills of your 510 thread cartridges, tanks and pens.

